chr	len	B	pop	superpop	cMmb	B_full	mType
chr1	248956422	0.354076344234159	YRI	AFR	0.685783735697955	0.292874865584786	TS (CpG-)
chr2	242193529	0.253824952547837	YRI	AFR	0.681110904047995	0.292874865584786	TS (CpG-)
chr3	198295559	0.216511880325984	YRI	AFR	0.686104762110133	0.292874865584786	TS (CpG-)
chr4	190214555	0.202210019904806	YRI	AFR	0.7435193866838	0.292874865584786	TS (CpG-)
chr5	181538259	0.222001077317486	YRI	AFR	0.688027508281026	0.292874865584786	TS (CpG-)
chr6	170805979	0.260795706267666	YRI	AFR	0.694773081448792	0.292874865584786	TS (CpG-)
chr7	159345973	0.24710644088124	YRI	AFR	0.74696726627611	0.292874865584786	TS (CpG-)
chr8	145138636	0.280699258713073	YRI	AFR	0.770348379322674	0.292874865584786	TS (CpG-)
chr9	138394717	0.250162622487793	YRI	AFR	0.977212446888996	0.292874865584786	TS (CpG-)
chr10	133797422	0.367509879958409	YRI	AFR	0.810778246693081	0.292874865584786	TS (CpG-)
chr11	135086622	0.324991046460974	YRI	AFR	0.736834908957531	0.292874865584786	TS (CpG-)
chr12	133275309	0.279657473464569	YRI	AFR	0.767135433703375	0.292874865584786	TS (CpG-)
chr13	114364328	0.209634136680011	YRI	AFR	0.797334760747316	0.292874865584786	TS (CpG-)
chr14	107043718	0.264639481512012	YRI	AFR	0.823631703923737	0.292874865584786	TS (CpG-)
chr15	101991189	0.309745105626254	YRI	AFR	1.04114829938583	0.292874865584786	TS (CpG-)
chr16	90338345	0.435246903059502	YRI	AFR	0.958454472363975	0.292874865584786	TS (CpG-)
chr17	83257441	0.487853229933498	YRI	AFR	1.02277415669326	0.292874865584786	TS (CpG-)
chr18	80373285	0.265397382268175	YRI	AFR	0.975597067167833	0.292874865584786	TS (CpG-)
chr19	58617616	0.62658950725994	YRI	AFR	1.2256898694543	0.292874865584786	TS (CpG-)
chr20	64444167	0.486301221332863	YRI	AFR	1.01014387249997	0.292874865584786	TS (CpG-)
chr21	46709983	0.280296009742563	YRI	AFR	1.25728658110762	0.292874865584786	TS (CpG-)
chr22	50818468	0.65790008648024	YRI	AFR	1.2820140822115	0.292874865584786	TS (CpG-)
chr1	248956422	0.638972824768933	YRI	AFR	0.685783735697955	0.609817895257401	TS (CpG+)
chr2	242193529	0.5728275175588	YRI	AFR	0.681110904047995	0.609817895257401	TS (CpG+)
chr3	198295559	0.451491865099573	YRI	AFR	0.686104762110133	0.609817895257401	TS (CpG+)
chr4	190214555	0.493640398601022	YRI	AFR	0.7435193866838	0.609817895257401	TS (CpG+)
chr5	181538259	0.497107511148388	YRI	AFR	0.688027508281026	0.609817895257401	TS (CpG+)
chr6	170805979	0.554864866633811	YRI	AFR	0.694773081448792	0.609817895257401	TS (CpG+)
chr7	159345973	0.630098781539713	YRI	AFR	0.74696726627611	0.609817895257401	TS (CpG+)
chr8	145138636	0.55344927681236	YRI	AFR	0.770348379322674	0.609817895257401	TS (CpG+)
chr9	138394717	0.560254892964514	YRI	AFR	0.977212446888996	0.609817895257401	TS (CpG+)
chr10	133797422	0.690625631424343	YRI	AFR	0.810778246693081	0.609817895257401	TS (CpG+)
chr11	135086622	0.62978599002494	YRI	AFR	0.736834908957531	0.609817895257401	TS (CpG+)
chr12	133275309	0.604542988189204	YRI	AFR	0.767135433703375	0.609817895257401	TS (CpG+)
chr13	114364328	0.539706798066828	YRI	AFR	0.797334760747316	0.609817895257401	TS (CpG+)
chr14	107043718	0.598668989614559	YRI	AFR	0.823631703923737	0.609817895257401	TS (CpG+)
chr15	101991189	0.563793765608844	YRI	AFR	1.04114829938583	0.609817895257401	TS (CpG+)
chr16	90338345	0.732321630919052	YRI	AFR	0.958454472363975	0.609817895257401	TS (CpG+)
chr17	83257441	0.860740185302776	YRI	AFR	1.02277415669326	0.609817895257401	TS (CpG+)
chr18	80373285	0.586890092593497	YRI	AFR	0.975597067167833	0.609817895257401	TS (CpG+)
chr19	58617616	0.953807047352815	YRI	AFR	1.2256898694543	0.609817895257401	TS (CpG+)
chr20	64444167	0.808865575393143	YRI	AFR	1.01014387249997	0.609817895257401	TS (CpG+)
chr21	46709983	0.778258290361256	YRI	AFR	1.25728658110762	0.609817895257401	TS (CpG+)
chr22	50818468	1.04422755905701	YRI	AFR	1.2820140822115	0.609817895257401	TS (CpG+)
