chr	B_berg	B_glem	bias	conv	pGC	pop	mType	cMmb
chr1	0.366245470353351	0.422208357899783	2.10212477754025	OK	0.411183605813014	YRI	TS (CpG-)	0.685783735697955
chr2	0.261125055584298	0.561128684287176	2.01916330875457	OK	0.398268125775816	YRI	TS (CpG-)	0.681110904047995
chr3	0.222793029193071	0.449560402035058	1.94836426820193	OK	0.389204314677045	YRI	TS (CpG-)	0.686104762110133
chr4	0.207802567724848	0.415318606700384	2.01215521490885	OK	0.375546107223123	YRI	TS (CpG-)	0.7435193866838
chr5	0.22843285761413	0.242303735606476	1.81266917060362	OK	0.390279706099115	YRI	TS (CpG-)	0.688027508281026
chr6	0.269682051324168	0.529790703138736	2.21549145663422	OK	0.390722982752314	YRI	TS (CpG-)	0.694773081448792
chr7	0.255784213238233	0.539688489766775	1.97031623064925	OK	0.398024629707425	YRI	TS (CpG-)	0.74696726627611
chr8	0.288540368790651	1.18822858040574	3.1780886207389	OK	0.395872826362342	YRI	TS (CpG-)	0.770348379322674
chr9	0.263840208599415	0.584630505995311	1.87246234343386	OK	0.405911955671485	YRI	TS (CpG-)	0.977212446888996
chr10	0.373500236286575	0.459100734675044	2.01550276178474	OK	0.411691508523355	YRI	TS (CpG-)	0.810778246693081
chr11	0.340649748673743	0.51084858721584	1.95118235038558	OK	0.410083791259598	YRI	TS (CpG-)	0.736834908957531
chr12	0.288570401782954	0.388963615444421	1.95624884685833	OK	0.398987658601007	YRI	TS (CpG-)	0.767135433703375
chr13	0.214532555977239	0.371517381452634	1.95501635496093	OK	0.381346478399431	YRI	TS (CpG-)	0.797334760747316
chr14	0.281794836996678	0.45964711296895	1.91721325293298	OK	0.402443952263673	YRI	TS (CpG-)	0.823631703923737
chr15	0.321761341992061	0.571461256189073	1.87120631575047	OK	0.416598750133844	YRI	TS (CpG-)	1.04114829938583
chr16	0.456511654843583	0.440205041044375	1.85771398941734	OK	0.441865114670035	YRI	TS (CpG-)	0.958454472363975
chr17	0.511031203251575	0.390274574510723	1.98144454766123	OK	0.449266659396123	YRI	TS (CpG-)	1.02277415669326
chr18	0.272583111755007	0.480295650947703	1.97990602166252	OK	0.393556201066111	YRI	TS (CpG-)	0.975597067167833
chr19	0.655505759303683	0.414288693086549	2.11159670291375	OK	0.485334907279258	YRI	TS (CpG-)	1.2256898694543
chr20	0.504315933654368	0.568808562143464	2.01942380479663	OK	0.438628158680659	YRI	TS (CpG-)	1.01014387249997
chr21	0.293144334028688	0.508200708178111	1.98260040126223	OK	0.4030211991464	YRI	TS (CpG-)	1.25728658110762
chr22	0.678357361435581	0.545055003097841	2.05301558388622	OK	0.485506875990693	YRI	TS (CpG-)	1.2820140822115
chr1	0.352050573975979	0.388886048504773	2.10828821196345	OK	0.410842754077338	TSI	TS (CpG-)	0.720287017554453
chr2	0.269334100921536	0.397978589560423	1.90977018550362	OK	0.398607502015141	TSI	TS (CpG-)	0.725060948596874
chr3	0.239685256383398	0.469424794969557	2.01407393166431	ERROR: ABNORMAL_TERMINATION_IN_LNSRCH	0.389635060647222	TSI	TS (CpG-)	0.736307676647501
chr4	0.234843938864544	0.455848710185084	2.09000173897314	OK	0.375591679327122	TSI	TS (CpG-)	0.746113377820252
chr5	0.25712695918249	0.453404813612612	2.03970567083908	OK	0.39101927970047	TSI	TS (CpG-)	0.727367605943088
chr6	0.299605189414987	0.42690046644753	2.09843222436624	OK	0.392198775702805	TSI	TS (CpG-)	0.771541244654946
chr7	0.277915639409387	0.52081610757865	2.00402137507882	OK	0.398165378983585	TSI	TS (CpG-)	0.795158305542454
chr8	0.278818868598302	0.446540208625808	2.04388066420139	OK	0.395410292752042	TSI	TS (CpG-)	0.806934668279587
chr9	0.298289520713198	0.578874639469084	1.97986016085625	OK	0.405693028241304	TSI	TS (CpG-)	1.11382128396409
chr10	0.367241733491851	0.502211504211927	2.10370380383401	OK	0.413121348891077	TSI	TS (CpG-)	0.874912678342994
chr11	0.360471085145796	0.508118141233039	2.08167815221991	ERROR: ABNORMAL_TERMINATION_IN_LNSRCH	0.40980283687192	TSI	TS (CpG-)	0.786803670907385
chr12	0.287237070345942	0.432745467050206	2.0345476367939	OK	0.399366679082686	TSI	TS (CpG-)	0.791783931076905
chr13	0.245217211992332	0.474810658921148	2.08671824984014	OK	0.38058566218098	TSI	TS (CpG-)	0.83824823267946
chr14	0.276576750534628	0.466860349768767	2.01709004767667	OK	0.402289755352032	TSI	TS (CpG-)	0.918706477201831
chr15	0.291296234387391	0.59918847583179	1.93601151787188	OK	0.416973426601596	TSI	TS (CpG-)	1.04225466542124
chr16	0.432438462820259	0.596982543620609	2.0168208505469	OK	0.441654190200706	TSI	TS (CpG-)	1.00724555801098
chr17	0.507673562840454	0.497721811048608	2.11774897531234	OK	0.451774637320191	TSI	TS (CpG-)	1.01868638167794
chr18	0.313830018711913	0.550782297867467	2.09161394933913	OK	0.394483652390647	TSI	TS (CpG-)	1.06280373488334
chr19	0.577975036165933	0.495708670671634	2.24441300586119	OK	0.485898712575656	TSI	TS (CpG-)	1.37441450894711
chr20	0.470882095248515	0.558462348319244	2.05255936403333	OK	0.437544137683925	TSI	TS (CpG-)	1.09133838419659
chr21	0.3484963270133	0.547301757673915	2.09067073503574	OK	0.404910540809394	TSI	TS (CpG-)	1.34051634941589
chr22	0.621034127949183	0.517990718031274	2.15219562828623	OK	0.48338941796869	TSI	TS (CpG-)	1.29718167493405
chr1	0.295996197181567	0.240085796526025	1.97299091648338	OK	0.412374648530722	CHB	TS (CpG-)	0.859248542211154
chr2	0.201015082447341	0.270712660133706	1.84855129259485	OK	0.398628319815568	CHB	TS (CpG-)	0.807955288629211
chr3	0.173169671344077	0.271239349478445	1.86767155441405	OK	0.389379234811301	CHB	TS (CpG-)	0.913702117080573
chr4	0.172888312603601	0.269302575783251	1.96004497970223	OK	0.375092853408067	CHB	TS (CpG-)	0.851482273915613
chr5	0.178550475758894	0.227511035157356	1.91088574955965	OK	0.390715913369654	CHB	TS (CpG-)	0.830918972291403
chr6	0.236201612282384	0.277322165219141	2.10175647534296	OK	0.391786273493499	CHB	TS (CpG-)	0.933357068520028
chr7	0.199212091958976	0.28805493751863	1.83343759741223	OK	0.397532736020502	CHB	TS (CpG-)	0.904158542311514
chr8	0.212676356669223	0.289954592535477	1.90325526286257	OK	0.395712112036796	CHB	TS (CpG-)	0.949884695725321
chr9	0.230208584542368	0.364418839578407	1.82208122273929	OK	0.405611558525433	CHB	TS (CpG-)	1.13195445492331
chr10	0.27578677331039	0.235452989764374	1.94207703518314	OK	0.411483962960395	CHB	TS (CpG-)	1.03889217297017
chr11	0.301200410627853	0.374936887073646	1.93733280889332	OK	0.409425168177803	CHB	TS (CpG-)	0.895138667039126
chr12	0.240482222582538	0.220248482638879	1.92071103687715	OK	0.399165847271611	CHB	TS (CpG-)	0.954531336487938
chr13	0.174658137766731	0.253589829713627	1.9389219938353	OK	0.380109967904281	CHB	TS (CpG-)	0.951664956265611
chr14	0.235671847307449	0.374970983015107	1.88501192093634	OK	0.401540823370356	CHB	TS (CpG-)	1.04352639609415
chr15	0.205150487571565	0.301415500706766	1.786758816907	OK	0.416152390257887	CHB	TS (CpG-)	1.21291778793978
chr16	0.371102326600939	0.417240320434781	1.88050286173625	OK	0.439990612876544	CHB	TS (CpG-)	1.48465001553441
chr17	0.382645805047796	0.284783548607474	1.9395762680464	OK	0.450196189452468	CHB	TS (CpG-)	1.31297761830177
chr18	0.231972390688432	0.331593539422542	1.91980893529257	OK	0.394485068280126	CHB	TS (CpG-)	1.23043959591495
chr19	0.496311648744207	0.187647353750376	2.06866561048658	OK	0.482885818102431	CHB	TS (CpG-)	1.63813305113291
chr20	0.394109940624755	0.29514177873542	2.01480343699899	OK	0.437327951348653	CHB	TS (CpG-)	1.26366147786993
chr21	0.25795115627875	0.39770898696339	1.89598293241708	OK	0.402590764062035	CHB	TS (CpG-)	1.57226379753883
chr22	0.496206680614753	0.386646302261159	1.96863736620579	OK	0.484713416024736	CHB	TS (CpG-)	1.48203403549952
chr1	0.655760336860728	0.432233563504237	2.07440480552581	OK	0.447710722392878	YRI	TS (CpG+)	0.685783735697955
chr2	0.587054481691511	0.739397598746898	2.24985746907761	OK	0.432812104194955	YRI	TS (CpG+)	0.681110904047995
chr3	0.463557776324239	0.531676039382851	1.91911785518933	OK	0.417057657142034	YRI	TS (CpG+)	0.686104762110133
chr4	0.503503609535968	0.448990303344515	2.08898122835382	OK	0.406531397902873	YRI	TS (CpG+)	0.7435193866838
chr5	0.511460274925277	0.411011254260611	2.01511908520315	OK	0.422756845945607	YRI	TS (CpG+)	0.688027508281026
chr6	0.564880772216795	0.445974039301446	2.10945347301238	OK	0.423407926736001	YRI	TS (CpG+)	0.694773081448792
chr7	0.645417578253039	0.634771512323149	2.18228856480221	OK	0.43895038384574	YRI	TS (CpG+)	0.74696726627611
chr8	0.567508522524039	0.549369973048935	2.09897597041756	OK	0.429675442509686	YRI	TS (CpG+)	0.770348379322674
chr9	0.582291320593749	0.641431267393558	1.98285861966876	OK	0.446602685849671	YRI	TS (CpG+)	0.977212446888996
chr10	0.703161919748339	0.672100153536347	2.49964214475892	OK	0.448863520885908	YRI	TS (CpG+)	0.810778246693081
chr11	0.654180790799325	0.857899942295619	2.33505342568791	OK	0.449328864828697	YRI	TS (CpG+)	0.736834908957531
chr12	0.618443031761376	0.65858781299023	2.22219485662324	OK	0.433872800101587	YRI	TS (CpG+)	0.767135433703375
chr13	0.546624568762839	0.373190745595619	1.99750570672993	OK	0.415657750801098	YRI	TS (CpG+)	0.797334760747316
chr14	0.620835741503366	0.714240237149168	2.33963903089862	OK	0.438932950073205	YRI	TS (CpG+)	0.823631703923737
chr15	0.589004786971973	0.740385957002589	1.99567354059067	OK	0.447812404962974	YRI	TS (CpG+)	1.04114829938583
chr16	0.761196129471023	0.870027068091537	2.10188241068736	OK	0.481703299457707	YRI	TS (CpG+)	0.958454472363975
chr17	0.886189432906321	0.73222667541474	2.32567715515914	OK	0.490795178833456	YRI	TS (CpG+)	1.02277415669326
chr18	0.590276884571867	0.549458595136225	2.14549324697411	OK	0.428396981573565	YRI	TS (CpG+)	0.975597067167833
chr19	0.998244045207947	0.833773601672212	2.7901902972002	OK	0.523666435383028	YRI	TS (CpG+)	1.2256898694543
chr20	0.830687623227295	0.767593828773218	2.21977462247044	OK	0.474992375292163	YRI	TS (CpG+)	1.01014387249997
chr21	0.80279667986337	0.683334282088819	2.33916761034179	OK	0.456911892699912	YRI	TS (CpG+)	1.25728658110762
chr22	1.06247516134314	0.736991422614426	2.43514431151109	OK	0.523688698958504	YRI	TS (CpG+)	1.2820140822115
chr1	0.575250102784472	0.442056381318188	2.15804822815364	OK	0.447308337379417	TSI	TS (CpG+)	0.720287017554453
chr2	0.511113756467376	0.464693844126372	2.18318075270302	OK	0.432707592290066	TSI	TS (CpG+)	0.725060948596874
chr3	0.422019839341791	0.493618752764994	2.00310562731126	OK	0.416607881807135	TSI	TS (CpG+)	0.736307676647501
chr4	0.457707326955111	0.447202155206818	2.19109297091873	OK	0.406820655723624	TSI	TS (CpG+)	0.746113377820252
chr5	0.480149043381298	0.471131077239303	2.20088908294805	OK	0.42419776476922	TSI	TS (CpG+)	0.727367605943088
chr6	0.518410336777772	0.423271296667586	2.21389997107021	OK	0.424407021136769	TSI	TS (CpG+)	0.771541244654946
chr7	0.570856535400102	0.529318398752389	2.28340429563555	OK	0.438878376403541	TSI	TS (CpG+)	0.795158305542454
chr8	0.500661410392471	0.446020097997755	2.19769082372298	OK	0.429617093856315	TSI	TS (CpG+)	0.806934668279587
chr9	0.54480563544434	0.67551865663096	2.14296970124195	OK	0.44605129297577	TSI	TS (CpG+)	1.11382128396409
chr10	0.61925323824801	0.382130040623783	2.26169685501813	OK	0.449902399223326	TSI	TS (CpG+)	0.874912678342994
chr11	0.586172835151627	0.509045053163823	2.11733136613102	OK	0.447976908828988	TSI	TS (CpG+)	0.786803670907385
chr12	0.586686699242001	0.5322537636328	2.28928824312314	OK	0.434157991050679	TSI	TS (CpG+)	0.791783931076905
chr13	0.475213074426162	0.409681470116741	2.22548474383955	OK	0.415182093052037	TSI	TS (CpG+)	0.83824823267946
chr14	0.545627406501109	0.536365132174141	2.12536722897513	OK	0.438072892141982	TSI	TS (CpG+)	0.918706477201831
chr15	0.523115919052405	0.732201485050474	2.04107923962818	OK	0.447401804602382	TSI	TS (CpG+)	1.04225466542124
chr16	0.653498477281555	0.859660184483248	2.17903186807333	OK	0.47984036724148	TSI	TS (CpG+)	1.00724555801098
chr17	0.808697613327071	0.636933009778418	2.29160559948705	OK	0.492595972533831	TSI	TS (CpG+)	1.01868638167794
chr18	0.540653774974195	0.352152188384804	2.23143567286912	OK	0.429128487765801	TSI	TS (CpG+)	1.06280373488334
chr19	0.87210135468131	0.717556896356575	2.60676593236942	OK	0.524429603090355	TSI	TS (CpG+)	1.37441450894711
chr20	0.748576750526565	0.652710152481544	2.29712544421183	OK	0.47638205082459	TSI	TS (CpG+)	1.09133838419659
chr21	0.740846761578212	0.562198178470773	2.39867601965287	OK	0.456947686698326	TSI	TS (CpG+)	1.34051634941589
chr22	0.9320640302305	0.649174248945095	2.46140230341172	OK	0.522782185666667	TSI	TS (CpG+)	1.29718167493405
chr1	0.553553786154649	0.460241663082163	2.23155142133156	OK	0.449260703433761	CHB	TS (CpG+)	0.859248542211154
chr2	0.455910071619147	0.393998326776047	2.13114890815506	OK	0.433445203840091	CHB	TS (CpG+)	0.807955288629211
chr3	0.414948154314851	0.466685646082334	2.01888186289849	OK	0.416750135986469	CHB	TS (CpG+)	0.913702117080573
chr4	0.441695317238553	0.386707220733485	2.13420280578277	OK	0.405713763293546	CHB	TS (CpG+)	0.851482273915613
chr5	0.449222219395869	0.427352382153793	2.11809742198493	OK	0.424044226547087	CHB	TS (CpG+)	0.830918972291403
chr6	0.479641946102567	0.386878208268102	2.18078832589355	OK	0.42432106960843	CHB	TS (CpG+)	0.933357068520028
chr7	0.568157063381227	0.474761028294754	2.20922416847187	OK	0.438305590287339	CHB	TS (CpG+)	0.904158542311514
chr8	0.492250900611299	0.425596328367925	2.11745730176077	OK	0.43009188641016	CHB	TS (CpG+)	0.949884695725321
chr9	0.524907165128492	0.604693632607728	2.09108181228482	OK	0.445744478299071	CHB	TS (CpG+)	1.13195445492331
chr10	0.581188772066936	0.331706816908316	2.33281750471212	OK	0.44953650802563	CHB	TS (CpG+)	1.03889217297017
chr11	0.552931247584532	0.548885513969483	2.15881550646894	OK	0.447936471927053	CHB	TS (CpG+)	0.895138667039126
chr12	0.542063680337996	0.313742680651296	2.17238551211673	OK	0.434495018037731	CHB	TS (CpG+)	0.954531336487938
chr13	0.439408285112917	0.372179417538379	2.12823656468534	OK	0.41632445950649	CHB	TS (CpG+)	0.951664956265611
chr14	0.526049437812429	0.583158653021282	2.17938021797247	OK	0.438490609527838	CHB	TS (CpG+)	1.04352639609415
