chr	len	B	pop	superpop	cMmb	B_full	mType
chr1	248956422	0.360452134572343	ACB	AFR	0.658581895424565	0.305115515154125	TS (CpG-)
chr2	242193529	0.259478811124118	ACB	AFR	0.659645318891524	0.305115515154125	TS (CpG-)
chr3	198295559	0.228027486204649	ACB	AFR	0.667098488536073	0.305115515154125	TS (CpG-)
chr4	190214555	0.212884693358504	ACB	AFR	0.683851043089504	0.305115515154125	TS (CpG-)
chr5	181538259	0.226390610397212	ACB	AFR	0.680492652384724	0.305115515154125	TS (CpG-)
chr6	170805979	0.278012352828807	ACB	AFR	0.670127161870292	0.305115515154125	TS (CpG-)
chr7	159345973	0.260752586773739	ACB	AFR	0.7300450847482	0.305115515154125	TS (CpG-)
chr8	145138636	0.284919461533461	ACB	AFR	0.746014591976528	0.305115515154125	TS (CpG-)
chr9	138394717	0.266605725949393	ACB	AFR	0.899453431929845	0.305115515154125	TS (CpG-)
chr10	133797422	0.371264312164725	ACB	AFR	0.766379548202448	0.305115515154125	TS (CpG-)
chr11	135086622	0.348163979085195	ACB	AFR	0.704081687132973	0.305115515154125	TS (CpG-)
chr12	133275309	0.284410182218568	ACB	AFR	0.729285962248344	0.305115515154125	TS (CpG-)
chr13	114364328	0.212469526834536	ACB	AFR	0.773176229223614	0.305115515154125	TS (CpG-)
chr14	107043718	0.278259327905843	ACB	AFR	0.801978062358009	0.305115515154125	TS (CpG-)
chr15	101991189	0.311050958688545	ACB	AFR	0.99288944658167	0.305115515154125	TS (CpG-)
chr16	90338345	0.460237631392651	ACB	AFR	0.918661443174699	0.305115515154125	TS (CpG-)
chr17	83257441	0.50946410642186	ACB	AFR	1.06770965671362	0.305115515154125	TS (CpG-)
chr18	80373285	0.27706585231232	ACB	AFR	0.920061033223444	0.305115515154125	TS (CpG-)
chr19	58617616	0.654291383291202	ACB	AFR	1.1391712383409	0.305115515154125	TS (CpG-)
chr20	64444167	0.496297768298946	ACB	AFR	0.949233593727264	0.305115515154125	TS (CpG-)
