chr	len	B	pop	cMmb	B_full	mType
chr1	224244399	0.156534541641098	PPA	0.964983011973026	0.05225868	TS (CpG-)
chr2A	108022953	0.0862899848442717	PPA	1.08235779441545	0.05225868	TS (CpG-)
chr2B	128755405	-0.0512086465691944	PPA	0.926364067802902	0.05225868	TS (CpG-)
chr3	196562556	-0.0356850486665891	PPA	0.945339749753228	0.05225868	TS (CpG-)
chr4	189151597	-0.116782759967078	PPA	0.884169808093771	0.05225868	TS (CpG-)
chr5	159319378	-0.0307792287766322	PPA	0.95091973422777	0.05225868	TS (CpG-)
chr6	168369391	-0.00331890049814982	PPA	1.00921407718121	0.05225868	TS (CpG-)
chr7	156046543	-0.0133639058684321	PPA	1.02012872895254	0.05225868	TS (CpG-)
chr8	143338810	0.046876801190242	PPA	0.870533584150345	0.05225868	TS (CpG-)
chr9	110513671	0.0526015556594793	PPA	1.03718611895887	0.05225868	TS (CpG-)
chr10	129809613	0.156907217298353	PPA	1.04977903017405	0.05225868	TS (CpG-)
chr11	130782606	0.104902627115786	PPA	0.966079572576254	0.05225868	TS (CpG-)
chr12	130995916	0.000594793824100675	PPA	1.05801476787213	0.05225868	TS (CpG-)
chr13	95599650	-0.111426368229476	PPA	1.05737063126141	0.05225868	TS (CpG-)
chr14	87716528	0.0120644909517263	PPA	1.10246091360445	0.05225868	TS (CpG-)
chr15	80519282	0.153637217719942	PPA	1.22233414597585	0.05225868	TS (CpG-)
chr16	75912362	0.286845068581357	PPA	1.09856079958766	0.05225868	TS (CpG-)
chr17	76554115	0.323283190247964	PPA	1.3327255038086	0.05225868	TS (CpG-)
chr18	74774469	-0.00231549953779433	PPA	1.09413511797767	0.05225868	TS (CpG-)
chr19	56733099	0.55942649395584	PPA	1.28797605841727	0.05225868	TS (CpG-)
chr20	64035432	0.285302323827122	PPA	1.24068062595749	0.05225868	TS (CpG-)
chr21	33232379	0.000358313252481131	PPA	1.3241352513763	0.05225868	TS (CpG-)
chr22	33698415	0.625800525726406	PPA	1.36505270135152	0.05225868	TS (CpG-)
chr1	224244399	0.217885283118938	PTE	0.936000352436791	0.14040557	TS (CpG-)
chr2A	108022953	0.15615472307973	PTE	0.947423294410477	0.14040557	TS (CpG-)
chr2B	128755405	0.0669021607372082	PTE	0.943525606564059	0.14040557	TS (CpG-)
chr3	196562556	0.0556566256567201	PTE	0.846442326350805	0.14040557	TS (CpG-)
chr4	189151597	-0.0288006292902994	PTE	0.832296572368962	0.14040557	TS (CpG-)
chr5	159319378	0.0473884809961879	PTE	0.897025180033084	0.14040557	TS (CpG-)
chr6	168369391	0.0701282918291571	PTE	0.872533258945121	0.14040557	TS (CpG-)
chr7	156046543	0.0991122093218801	PTE	0.883557935445032	0.14040557	TS (CpG-)
chr8	143338810	0.0955583823695824	PTE	0.883596555519076	0.14040557	TS (CpG-)
chr9	110513671	0.159697299242306	PTE	1.0279444197852	0.14040557	TS (CpG-)
chr10	129809613	0.214670570912	PTE	0.993464671972679	0.14040557	TS (CpG-)
chr11	130782606	0.21522662524892	PTE	0.854591170580845	0.14040557	TS (CpG-)
