chr	B	bias	conv	pGC	pop	mType	dataset
chr1	0.422208357899783	2.10212477754025	OK	0.411183605813014	YRI	TS (CpG-)	original
chr2	0.561128684287176	2.01916330875457	OK	0.398268125775816	YRI	TS (CpG-)	original
chr3	0.449560402035058	1.94836426820193	OK	0.389204314677045	YRI	TS (CpG-)	original
chr4	0.415318606700384	2.01215521490885	OK	0.375546107223123	YRI	TS (CpG-)	original
chr5	0.242303735606476	1.81266917060362	OK	0.390279706099115	YRI	TS (CpG-)	original
chr6	0.529790703138736	2.21549145663422	OK	0.390722982752314	YRI	TS (CpG-)	original
chr7	0.539688489766775	1.97031623064925	OK	0.398024629707425	YRI	TS (CpG-)	original
chr8	1.18822858040574	3.1780886207389	OK	0.395872826362342	YRI	TS (CpG-)	original
chr9	0.584630505995311	1.87246234343386	OK	0.405911955671485	YRI	TS (CpG-)	original
chr10	0.459100734675044	2.01550276178474	OK	0.411691508523355	YRI	TS (CpG-)	original
chr11	0.51084858721584	1.95118235038558	OK	0.410083791259598	YRI	TS (CpG-)	original
chr12	0.388963615444421	1.95624884685833	OK	0.398987658601007	YRI	TS (CpG-)	original
chr13	0.371517381452634	1.95501635496093	OK	0.381346478399431	YRI	TS (CpG-)	original
chr14	0.45964711296895	1.91721325293298	OK	0.402443952263673	YRI	TS (CpG-)	original
chr15	0.571461256189073	1.87120631575047	OK	0.416598750133844	YRI	TS (CpG-)	original
chr16	0.440205041044375	1.85771398941734	OK	0.441865114670035	YRI	TS (CpG-)	original
chr17	0.390274574510723	1.98144454766123	OK	0.449266659396123	YRI	TS (CpG-)	original
chr18	0.480295650947703	1.97990602166252	OK	0.393556201066111	YRI	TS (CpG-)	original
chr19	0.414288693086549	2.11159670291375	OK	0.485334907279258	YRI	TS (CpG-)	original
chr20	0.568808562143464	2.01942380479663	OK	0.438628158680659	YRI	TS (CpG-)	original
chr21	0.508200708178111	1.98260040126223	OK	0.4030211991464	YRI	TS (CpG-)	original
chr22	0.545055003097841	2.05301558388622	OK	0.485506875990693	YRI	TS (CpG-)	original
chr1	0.388886048504773	2.10828821196345	OK	0.410842754077338	TSI	TS (CpG-)	original
chr2	0.397978589560423	1.90977018550362	OK	0.398607502015141	TSI	TS (CpG-)	original
chr3	0.469424794969557	2.01407393166431	ERROR: ABNORMAL_TERMINATION_IN_LNSRCH	0.389635060647222	TSI	TS (CpG-)	original
chr4	0.455848710185084	2.09000173897314	OK	0.375591679327122	TSI	TS (CpG-)	original
chr5	0.453404813612612	2.03970567083908	OK	0.39101927970047	TSI	TS (CpG-)	original
chr6	0.42690046644753	2.09843222436624	OK	0.392198775702805	TSI	TS (CpG-)	original
chr7	0.52081610757865	2.00402137507882	OK	0.398165378983585	TSI	TS (CpG-)	original
chr8	0.446540208625808	2.04388066420139	OK	0.395410292752042	TSI	TS (CpG-)	original
chr9	0.578874639469084	1.97986016085625	OK	0.405693028241304	TSI	TS (CpG-)	original
chr10	0.502211504211927	2.10370380383401	OK	0.413121348891077	TSI	TS (CpG-)	original
chr11	0.508118141233039	2.08167815221991	ERROR: ABNORMAL_TERMINATION_IN_LNSRCH	0.40980283687192	TSI	TS (CpG-)	original
chr12	0.432745467050206	2.0345476367939	OK	0.399366679082686	TSI	TS (CpG-)	original
chr13	0.474810658921148	2.08671824984014	OK	0.38058566218098	TSI	TS (CpG-)	original
chr14	0.466860349768767	2.01709004767667	OK	0.402289755352032	TSI	TS (CpG-)	original
chr15	0.59918847583179	1.93601151787188	OK	0.416973426601596	TSI	TS (CpG-)	original
chr16	0.596982543620609	2.0168208505469	OK	0.441654190200706	TSI	TS (CpG-)	original
chr17	0.497721811048608	2.11774897531234	OK	0.451774637320191	TSI	TS (CpG-)	original
chr18	0.550782297867467	2.09161394933913	OK	0.394483652390647	TSI	TS (CpG-)	original
chr19	0.495708670671634	2.24441300586119	OK	0.485898712575656	TSI	TS (CpG-)	original
chr20	0.558462348319244	2.05255936403333	OK	0.437544137683925	TSI	TS (CpG-)	original
chr21	0.547301757673915	2.09067073503574	OK	0.404910540809394	TSI	TS (CpG-)	original
chr22	0.517990718031274	2.15219562828623	OK	0.48338941796869	TSI	TS (CpG-)	original
chr1	0.240085796526025	1.97299091648338	OK	0.412374648530722	CHB	TS (CpG-)	original
chr2	0.270712660133706	1.84855129259485	OK	0.398628319815568	CHB	TS (CpG-)	original
chr3	0.271239349478445	1.86767155441405	OK	0.389379234811301	CHB	TS (CpG-)	original
chr4	0.269302575783251	1.96004497970223	OK	0.375092853408067	CHB	TS (CpG-)	original
chr5	0.227511035157356	1.91088574955965	OK	0.390715913369654	CHB	TS (CpG-)	original
chr6	0.277322165219141	2.10175647534296	OK	0.391786273493499	CHB	TS (CpG-)	original
chr7	0.28805493751863	1.83343759741223	OK	0.397532736020502	CHB	TS (CpG-)	original
chr8	0.289954592535477	1.90325526286257	OK	0.395712112036796	CHB	TS (CpG-)	original
chr9	0.364418839578407	1.82208122273929	OK	0.405611558525433	CHB	TS (CpG-)	original
chr10	0.235452989764374	1.94207703518314	OK	0.411483962960395	CHB	TS (CpG-)	original
chr11	0.374936887073646	1.93733280889332	OK	0.409425168177803	CHB	TS (CpG-)	original
chr12	0.220248482638879	1.92071103687715	OK	0.399165847271611	CHB	TS (CpG-)	original
chr13	0.253589829713627	1.9389219938353	OK	0.380109967904281	CHB	TS (CpG-)	original
chr14	0.374970983015107	1.88501192093634	OK	0.401540823370356	CHB	TS (CpG-)	original
chr15	0.301415500706766	1.786758816907	OK	0.416152390257887	CHB	TS (CpG-)	original
chr16	0.417240320434781	1.88050286173625	OK	0.439990612876544	CHB	TS (CpG-)	original
chr17	0.284783548607474	1.9395762680464	OK	0.450196189452468	CHB	TS (CpG-)	original
chr18	0.331593539422542	1.91980893529257	OK	0.394485068280126	CHB	TS (CpG-)	original
chr19	0.187647353750376	2.06866561048658	OK	0.482885818102431	CHB	TS (CpG-)	original
chr20	0.29514177873542	2.01480343699899	OK	0.437327951348653	CHB	TS (CpG-)	original
chr21	0.39770898696339	1.89598293241708	OK	0.402590764062035	CHB	TS (CpG-)	original
chr22	0.386646302261159	1.96863736620579	OK	0.484713416024736	CHB	TS (CpG-)	original
chr1	0.432233563504237	2.07440480552581	OK	0.447710722392878	YRI	TS (CpG+)	original
chr2	0.739397598746898	2.24985746907761	OK	0.432812104194955	YRI	TS (CpG+)	original
chr3	0.531676039382851	1.91911785518933	OK	0.417057657142034	YRI	TS (CpG+)	original
chr4	0.448990303344515	2.08898122835382	OK	0.406531397902873	YRI	TS (CpG+)	original
chr5	0.411011254260611	2.01511908520315	OK	0.422756845945607	YRI	TS (CpG+)	original
